location,num_postings,posting_ids,number_of_sweeps,geometry
84th Ave between International Blvd & A St,1,[ 1133 ],1,"LINESTRING (-122.1795323 37.7532475, -122.1777884 37.7540536)"
International Blvd between 85th Ave and 86th Ave,7,[ 531  588  600  649  756 1119 1140],4,"LINESTRING (-122.1773088413078 37.75365454829348, -122.1767427 37.7529036)"
88th Ave between Birch St and Plymouth St,1,[ 233 ],1,"LINESTRING (-122.1703655 37.7533897, -122.1721002 37.7525882)"
75th Ave between Snell St & Hawley St,1,[ 1009 ],1,"LINESTRING (-122.1932923 37.7535549, -122.1949468 37.7524883)"
86th Ave between International and Holly St,1,[ 294 ],1,"LINESTRING (-122.175196 37.753626, -122.1767427 37.7529036)"
International Blvd between 84th Ave and 85th Ave,3,[ 757 1120 1141],3,"LINESTRING (-122.17794931826576 37.75438407167834, -122.17718560221438 37.753281839013205)"
85th Ave between Holly St and International Blvd,1,[ 293 ],1,"LINESTRING (-122.1757656 37.7543944, -122.17731105591312 37.753663246111074)"
73rd Ave between Hawley St and Spencer St,1,[ 412 ],1,"LINESTRING (-122.1943309587719 37.7546117467687, -122.1925704 37.7557447)"
International Blvd between 83rd Ave and 84th Ave,3,[ 758 1121 1142],3,"LINESTRING (-122.17858342705303 37.75514865697583, -122.17828615650822 37.75490727199073, -122.17775589013098 37.75407829913765)"
Hawley St between 72nd Ave and 73rd Ave | Hawley St between 72nd Ave & 73rd Ave,2,[ 410 1059],2,"LINESTRING (-122.19488717593453 37.75512732700492, -122.1943494728587 37.7546133833988)"
84th Ave between Holly St and International Blvd,1,[ 292 ],1,"LINESTRING (-122.17633408730335 37.75514522169757, -122.17787202791828 37.754445983420595)"
International Blvd between 82nd ave and 83rd ave,1,[ 759 ],1,"LINESTRING (-122.17955831736515 37.75561581744364, -122.17857442900588 37.755137113603084, -122.17826469211383 37.754888855771895)"
Hawley St between 71st Ave and 72nd Ave,1,[ 411 ],1,"LINESTRING (-122.1954138 37.7556523, -122.1948793 37.7551211)"
83rd Ave between Holly St and International Blvd,1,[ 291 ],1,"LINESTRING (-122.1769062 37.7559331, -122.17851686581311 37.7551739067502)"
Hamilton St between 73rd Ave and Hegenberger Rd,1,[ 918 ],1,"LINESTRING (-122.1907922 37.7568881, -122.1901579 37.7562635)"
Hamilton St between 72nd Ave and 73rd Ave,1,[ 919 ],1,"LINESTRING (-122.191328 37.7574101, -122.1907922 37.7568881)"
